filename,geom_number,geom_max_strength,geom_energy_eV,geom_energy_nm,mode_num,modal_frequency_cm,m_displacement,m_frequency_rad,m_mass
Geometry-260-.log,260,1.5065541026,3.0334,408.7822245664931,2,8.6795,-7.7437,309317607238935.5,1.2670411036911999e-26
Geometry-335-.log,335,0.9679317165,2.8737,431.4994606256742,1,7.3072,-4.5496,nan,nan
Geometry-261-.log,261,1.6025130419,2.9539,419.78401435390504,1,7.3072,4.0835,312330055844469.9,1.1572462623664e-26
Geometry-414-.log,414,1.4531111694,3.121,397.30855495033643,4,11.7471,4.6928,nan,nan
Geometry-262-.log,262,1.3220123651,3.1296,396.21676891615544,2,8.6795,4.0471,312390916626609.6,1.1569473653392e-26
Geometry-336-.log,336,1.5171108976,3.0582,405.46726832777455,4,11.7471,5.8992,nan,nan
Geometry-263-.log,263,0.9893520875,2.9184,424.890350877193,2,8.6795,-4.6698,312394363708977.8,1.1575451593936e-26
Geometry-264-.log,264,0.7762370828,3.2314,383.7346041963236,1,7.3072,6.133,314381314728237.9,1.1389305167552e-26
Geometry-337-.log,337,1.3551657635,3.2736,378.78787878787875,5,17.7354,1.929,nan,nan
Geometry-265-.log,265,1.6501000989,3.0206,410.5144673243727,3,9.7237,-2.9049,314507425200669.2,1.1339488996351999e-26
Geometry-415-.log,415,1.5941287304,2.871,431.9052594914664,4,11.7471,-3.9186,nan,nan
Geometry-266-.log,266,0.5261104788,3.1818,389.71651266578664,5,17.7354,6.0063,314543760839402.56,1.1358917303119998e-26
Geometry-338-.log,338,0.7508860436,3.118,397.69082745349584,1,7.3072,7.7094,nan,nan
Geometry-267-.log,267,1.6244251698,2.9008,427.46828461114177,4,11.7471,-8.8396,315339396424918.2,1.3098165893616e-26
Geometry-268-.log,268,1.218622472,3.1667,391.5748255281523,2,8.6795,6.1435,315618911480991.1,1.2107322248448001e-26
Geometry-339-.log,339,0.7717563974,3.0473,406.9175991861648,2,8.6795,-4.2376,nan,nan
Geometry-269-.log,269,1.4388967191,3.0826,402.2578342957244,2,8.6795,-6.9261,315637408939382.1,1.2107488302351997e-26
Geometry-416-.log,416,1.4179264243,3.2612,380.22813688212926,3,9.7237,-3.3768,nan,nan
Geometry-270-.log,270,1.2852192216,3.0568,405.6529704265899,1,7.3072,-6.1472,316297704159786.56,1.8266261547808e-26
Geometry-340-.log,340,1.4320050389,3.2305,383.841510602074,4,11.7471,3.5781,nan,nan
Geometry-271-.log,271,1.5636156295,2.9816,415.8840890796888,1,7.3072,-5.2235,317339419986055.4,1.0664479876592001e-26
Geometry-272-.log,272,1.3385620523,2.9836,415.6053090226572,1,7.3072,7.2345,317366450386046.25,1.0670955978847997e-26
Geometry-341-.log,341,1.3807517926,2.8185,439.9503281887529,1,7.3072,-8.9408,nan,nan
Geometry-273-.log,273,1.2846348109,3.1626,392.0824637956112,1,7.3072,-4.3074,317421151627560.94,1.0657837720432e-26
Geometry-417-.log,417,1.3447371585,3.136,395.4081632653061,3,9.7237,5.3094,nan,nan
Geometry-274-.log,274,1.6260375458,3.1437,394.43967299678724,2,8.6795,-3.2201,320765367783645.4,1.2435112654944001e-26
Geometry-342-.log,342,1.5527752249,3.1356,395.45860441382825,2,8.6795,2.6818,nan,nan
Geometry-275-.log,275,1.0311505059,3.0992,400.1032524522457,4,11.7471,7.3404,320814681781677.5,1.2388949669632001e-26
Geometry-276-.log,276,1.2079470935,3.0713,403.73783088594405,1,7.3072,5.9519,320837473965641.94,1.2404724790511999e-26
Geometry-343-.log,343,1.1728271878,3.026,409.7818902842036,3,9.7237,-4.6931,nan,nan
Geometry-277-.log,277,0.9944908115,3.1515,393.4634301126448,1,7.3072,-5.8381,607450656566661.2,1.803179343536e-27
Geometry-418-.log,418,1.2991301926,3.009,412.0970422067132,6,18.2348,4.2274,nan,nan
Geometry-278-.log,278,1.594747416,2.7276,454.6121132130811,1,7.3072,-10.809,607451202825615.8,1.803013289632e-27
Geometry-344-.log,344,1.2486225163,3.0,413.3333333333333,2,8.6795,-6.5093,nan,nan
Geometry-279-.log,279,1.6318166635,3.0737,403.42258515795294,3,9.7237,3.925,607454781763593.8,1.803013289632e-27
Geometry-280-.log,280,1.4424344666,2.996,413.88518024032044,2,8.6795,-6.0096,608233163100752.8,1.8018509123040002e-27
Geometry-345-.log,345,1.4135429492,2.8841,429.9434832356714,1,7.3072,-4.8513,nan,nan
Geometry-281-.log,281,1.5933032141,3.0211,410.446526099765,2,8.6795,6.5027,608234651185490.9,1.8018509123040002e-27
Geometry-419-.log,419,1.2602737471,2.9785,416.3169380560685,2,8.6795,4.0796,nan,nan
Geometry-282-.log,282,0.9539633897,2.9905,414.6463802039793,4,11.7471,-4.2605,608248853918308.5,1.8018509123040002e-27
Geometry-346-.log,346,1.2970003045,2.8556,434.23448662277633,4,11.7471,4.5148,nan,nan
Geometry-283-.log,283,1.5496606426,2.8633,433.06674117277265,1,7.3072,-5.7419,608896754711400.0,1.809821499696e-27
Geometry-284-.log,284,1.374741847,3.1295,396.2294296213452,2,8.6795,4.0956,608905381835578.2,1.8096554457920003e-27
Geometry-347-.log,347,1.9682600785,3.0623,404.92440322633314,2,8.6795,-8.3032,nan,nan
Geometry-285-.log,285,1.395209933,2.8938,428.5023152947681,2,8.6795,7.5254,608915610063588.8,1.8096554457920003e-27
Geometry-420-.log,420,1.3656223989,2.969,417.64904008083533,1,7.3072,-10.5357,nan,nan
Geometry-286-.log,286,1.1195307185,3.1521,393.3885346277085,2,8.6795,-5.4147,609509826787012.0,1.80749674504e-27
Geometry-348-.log,348,1.1185487429,3.133,395.7867858282796,1,7.3072,4.9993,nan,nan
Geometry-287-.log,287,1.4428432965,2.8476,435.4544177553027,2,8.6795,-8.2063,609516909316905.0,1.80749674504e-27
Geometry-288-.log,288,1.1070611068,2.7507,450.7943432580797,1,7.3072,-9.5007,609531356924426.4,1.80749674504e-27
Geometry-349-.log,349,1.3931789038,2.933,422.77531537674736,1,7.3072,5.3542,nan,nan
Geometry-289-.log,289,1.2897520705,2.6636,465.53536567052106,2,8.6795,10.8641,610926313929112.6,1.813640739488e-27
Geometry-421-.log,421,1.2662870786,3.1338,395.68574893101027,5,17.7354,2.5066,nan,nan
Geometry-290-.log,290,2.0390142359,3.027,409.6465147010241,1,7.3072,-6.509,610929346608135.9,1.8134746855840002e-27
Geometry-350-.log,350,0.8649728009,2.8346,437.4514922740422,2,8.6795,-7.3629,nan,nan
Geometry-291-.log,291,1.6530267946,2.9667,417.9728317659352,3,9.7237,8.7657,610934206429179.5,1.813640739488e-27
Geometry-292-.log,292,1.3351440525,2.7121,457.21027985693746,2,8.6795,-8.3993,611504387758604.0,1.816297601952e-27
Geometry-351-.log,351,1.0485460595,3.1661,391.6490319320299,1,7.3072,-2.8864,nan,nan
Geometry-293-.log,293,1.602746732,3.254,381.06945298094655,1,7.3072,-4.3737,611504877508011.5,1.8164636558560003e-27
Geometry-422-.log,422,1.2016136825,3.1185,397.62706429373094,2,8.6795,-2.5943,nan,nan
Geometry-294-.log,294,1.252335891,2.9921,414.42465158250053,4,11.7471,-3.6816,611514201583269.6,1.816131548048e-27
Geometry-352-.log,352,0.970737049,3.2164,385.52418853376446,3,9.7237,2.0558,nan,nan
Geometry-295-.log,295,0.9833732331,3.0875,401.6194331983806,1,7.3072,6.6127,611747830887163.0,1.8111499309280003e-27
Geometry-296-.log,296,1.536223621,2.7963,443.4431212673891,1,7.3072,6.1406,611789026346940.0,1.811315984832e-27
Geometry-353-.log,353,1.2670984704,3.146,394.15130324221235,1,7.3072,4.6087,nan,nan
Geometry-297-.log,297,1.3201556648,3.153,393.27624484617826,2,8.6795,-2.392,611835966943997.4,1.8119802004479998e-27
Geometry-323-.log,323,1.3532909526,3.2193,385.1769018109527,2,8.6795,-4.5549,nan,nan
Geometry-423-.log,423,1.1892850023,3.3556,369.53152938371676,1,7.3072,4.5372,nan,nan
Geometry-324-.log,324,1.3282035213,3.0273,409.60591946619104,1,7.3072,4.6221,nan,nan
Geometry-325-.log,325,1.2569352231,3.0776,402.91135950090984,1,7.3072,-4.7172,nan,nan
Geometry-424-.log,424,1.7067437276,2.9833,415.64710220225925,1,7.3072,-7.2591,nan,nan
Geometry-326-.log,326,0.680893234,3.2717,379.0078552434514,2,8.6795,-1.8739,nan,nan
Geometry-327-.log,327,1.6749046625,2.9891,414.84058746779965,3,9.7237,4.7006,nan,nan
Geometry-425-.log,425,1.1696996761,3.025,409.91735537190084,2,8.6795,5.9515,nan,nan
Geometry-328-.log,328,1.1261194323,2.7473,451.35223674152803,3,9.7237,5.6431,nan,nan
Geometry-437-.log,437,0.7071099003,3.0453,407.18484221587363,1,7.3072,3.8031,nan,nan
Geometry-354-.log,354,1.1071192371,3.0683,404.1325815598214,4,11.7471,2.8519,nan,nan
Geometry-355-.log,355,0.6517545405,3.1165,397.8822396919622,1,7.3072,4.1764,nan,nan
Geometry-438-.log,438,2.0835305777,2.9834,415.63317020848694,3,9.7237,-4.8785,nan,nan
Geometry-356-.log,356,0.7540577365,3.0798,402.62354698357035,2,8.6795,-4.0282,nan,nan
Geometry-357-.log,357,1.7380241008,2.996,413.88518024032044,1,7.3072,-5.6565,nan,nan
Geometry-439-.log,439,0.9291628853,3.1304,396.1155123945822,2,8.6795,2.5913,nan,nan
Geometry-358-.log,358,1.3250381549,2.9363,422.3001736879746,1,7.3072,-4.1665,nan,nan
Geometry-359-.log,359,1.3653605636,2.8988,427.7632123637367,1,7.3072,7.5719,nan,nan
Geometry-440-.log,440,0.7651449051,3.2126,385.9802029508809,4,11.7471,-3.6344,nan,nan
Geometry-360-.log,360,0.7689645332,3.1981,387.7302148150464,3,9.7237,-6.4199,nan,nan
Geometry-361-.log,361,1.0173712343,3.1634,391.9833090978061,1,7.3072,6.1582,nan,nan
Geometry-441-.log,441,1.2878266559,3.0976,400.3099173553719,2,8.6795,-3.9447,nan,nan
Geometry-362-.log,362,1.2510935844,3.1443,394.3644054320517,2,8.6795,-3.7821,nan,nan
Geometry-363-.log,363,1.5246358875,2.7588,449.47078439901406,1,7.3072,-12.5884,nan,nan
Geometry-442-.log,442,1.4961512605,2.9528,419.9403955567597,2,8.6795,5.2917,nan,nan
Geometry-364-.log,364,1.3539438552,2.9596,418.9755372347615,6,18.2348,-3.6312,nan,nan
Geometry-365-.log,365,0.9702577612,3.1242,396.9016068113437,2,8.6795,-6.644,nan,nan
Geometry-443-.log,443,1.3564867098,3.1604,392.3553980508796,3,9.7237,5.3034,nan,nan
Geometry-366-.log,366,1.1143294457,3.1082,398.9447268515539,6,18.2348,-2.9827,nan,nan
Geometry-367-.log,367,1.5899308402,2.8506,434.99614116326387,1,7.3072,8.5661,nan,nan
Geometry-444-.log,444,1.0727998423,3.021,410.46011254551473,2,8.6795,2.2966,nan,nan
Geometry-368-.log,368,1.397177612,3.0683,404.1325815598214,2,8.6795,4.0355,nan,nan
Geometry-369-.log,369,1.6281014091,3.0671,404.29069805353595,1,7.3072,-4.5503,nan,nan
Geometry-445-.log,445,1.5235498249,3.1721,390.9082311402541,4,11.7471,3.5656,nan,nan
Geometry-370-.log,370,0.7967575146,2.9697,417.5505943361282,4,11.7471,-2.9859,nan,nan
Geometry-371-.log,371,1.1015731428,3.0697,403.9482685604456,7,28.1481,-2.5074,nan,nan
Geometry-446-.log,446,1.1232552409,3.1379,395.16874342713277,2,8.6795,-5.5664,nan,nan
Geometry-372-.log,372,1.0610391018,2.8097,441.3282556856604,1,7.3072,-7.3726,nan,nan
Geometry-373-.log,373,1.5613102412,3.0675,404.237978810106,2,8.6795,3.4962,nan,nan
Geometry-447-.log,447,1.4199363037,2.97,417.5084175084175,1,7.3072,5.9177,nan,nan
Geometry-374-.log,374,1.7918349693,3.1198,397.4613757292134,5,17.7354,-2.7214,nan,nan
Geometry-375-.log,375,1.13664728,3.3197,373.52772840919357,1,7.3072,-7.8812,nan,nan
Geometry-448-.log,448,1.1684951468,2.842,436.3124560168895,2,8.6795,4.0951,nan,nan
Geometry-376-.log,376,1.6048165203,3.1095,398.7779385753336,1,7.3072,6.6636,nan,nan
Geometry-377-.log,377,1.5313344673,2.9742,416.91883531706003,6,18.2348,-4.388,nan,nan
Geometry-449-.log,449,1.4499143715,2.698,459.5997034840623,1,7.3072,-7.9351,nan,nan
Geometry-378-.log,378,1.4455860742,3.1855,389.2638518285983,1,7.3072,2.2405,nan,nan
Geometry-379-.log,379,0.9085678516,3.0804,402.54512400986886,3,9.7237,-2.5112,nan,nan
Geometry-450-.log,450,1.0166905438,3.0961,400.5038596944543,3,9.7237,-6.0105,nan,nan
Geometry-380-.log,380,1.2644682616,3.2333,383.5091083413231,6,18.2348,3.0656,nan,nan
Geometry-381-.log,381,1.5624698512,3.1609,392.29333417697495,2,8.6795,-2.2529,nan,nan
Geometry-451-.log,451,0.8708803181,3.1724,390.8712646576724,7,28.1481,2.6788,nan,nan
Geometry-382-.log,382,1.0094965702,3.2746,378.67220423868565,2,8.6795,-4.6275,nan,nan
Geometry-383-.log,383,1.2349981576,3.0405,407.8276599243545,3,9.7237,-8.2024,nan,nan
Geometry-452-.log,452,1.3924464562,3.2472,381.86745503818673,2,8.6795,-3.9591,nan,nan
Geometry-384-.log,384,1.0534262895,3.145,394.2766295707472,3,9.7237,-7.245,nan,nan
Geometry-385-.log,385,1.2594605757,3.2049,386.90754781740463,1,7.3072,-6.3626,nan,nan
Geometry-453-.log,453,1.6588227064,3.0266,409.70065419943165,1,7.3072,-3.4723,nan,nan
Geometry-386-.log,386,1.6397255048,3.0844,402.0230839061081,3,9.7237,-4.8923,nan,nan
Geometry-387-.log,387,1.4119314055,3.3051,375.177755589846,4,11.7471,4.3978,nan,nan
Geometry-454-.log,454,1.6518255007,3.1134,398.2784094559003,5,17.7354,3.2009,nan,nan
Geometry-388-.log,388,1.7878242274,2.9125,425.7510729613734,1,7.3072,-7.7781,nan,nan
Geometry-389-.log,389,1.3950370015,2.9909,414.59092580828514,4,11.7471,-4.5545,nan,nan
Geometry-455-.log,455,1.5943267214,3.1445,394.3393226268087,2,8.6795,4.6231,nan,nan
Geometry-390-.log,390,1.870592958,2.789,444.6038006453926,2,8.6795,8.5888,nan,nan
Geometry-391-.log,391,1.3708437153,2.9439,421.2099595774313,3,9.7237,-4.0444,nan,nan
Geometry-456-.log,456,1.6348268776,2.9992,413.44358495598823,4,11.7471,-4.7973,nan,nan
Geometry-392-.log,392,1.5482707479,2.9306,423.12154507609364,2,8.6795,4.6778,nan,nan
Geometry-393-.log,393,1.4960273048,3.1714,390.99451346408523,2,8.6795,5.9286,nan,nan
Geometry-457-.log,457,1.8766259295,2.9795,416.17721094143315,1,7.3072,-7.3475,nan,nan
Geometry-394-.log,394,1.3776921202,3.1339,395.6731229458502,1,7.3072,5.6362,nan,nan
Geometry-395-.log,395,1.4709321819,3.0589,405.3744810225898,1,7.3072,-3.5751,nan,nan
Geometry-458-.log,458,1.3333359591,3.1057,399.265865988344,1,7.3072,-3.6775,nan,nan
Geometry-396-.log,396,1.2101376128,3.1805,389.8758056909291,3,9.7237,5.6928,nan,nan
Geometry-397-.log,397,1.1656804567,2.87,432.05574912891984,4,11.7471,5.3706,nan,nan
Geometry-426-.log,426,1.7483154667,2.7755,446.76634840569267,1,7.3072,-10.9201,nan,nan
Geometry-427-.log,427,1.2865046732,2.7693,447.7665836131875,1,7.3072,-9.4033,nan,nan
Geometry-428-.log,428,1.4069803487,3.1362,395.38294751610226,4,11.7471,4.8774,nan,nan
Geometry-429-.log,429,0.7269816544,3.0769,403.0030225226689,2,8.6795,-9.0411,nan,nan
Geometry-430-.log,430,0.8149378726,2.9343,422.58801076917837,4,11.7471,4.9338,nan,nan
Geometry-431-.log,431,1.0646776806,2.7615,449.0313235560384,4,11.7471,5.8281,nan,nan
Geometry-432-.log,432,1.3600352972,3.2566,380.7652152551741,4,11.7471,-4.7329,nan,nan
Geometry-433-.log,433,1.3159985011,3.1165,397.8822396919622,4,11.7471,-2.9199,nan,nan
Geometry-434-.log,434,1.5248137342,3.0229,410.2021237884151,3,9.7237,-6.5159,nan,nan
Geometry-435-.log,435,1.1558962864,2.8671,432.4927627219141,2,8.6795,7.0087,nan,nan
Geometry-436-.log,436,1.108061352,2.5986,477.1800200107751,2,8.6795,9.3387,nan,nan
Geometry-459-.log,459,1.8219400498,2.9602,418.8906154989528,1,7.3072,-4.3209,nan,nan
Geometry-460-.log,460,1.0903577854,3.1135,398.26561747229806,2,8.6795,3.515,nan,nan
Geometry-461-.log,461,1.1762453181,3.184,389.4472361809045,3,9.7237,5.9217,nan,nan
Geometry-462-.log,462,1.109132534,3.0656,404.4885177453027,1,7.3072,-6.6098,nan,nan
Geometry-463-.log,463,1.0586341584,3.3072,374.9395258829221,4,11.7471,-6.7802,nan,nan
Geometry-464-.log,464,1.5255183469,3.2833,377.6688088203941,1,7.3072,-4.9479,nan,nan
Geometry-465-.log,465,0.9620320389,3.0317,409.0114457235215,3,9.7237,-4.8721,nan,nan
Geometry-466-.log,466,1.2255720456,2.7926,444.03065243858765,2,8.6795,7.207,nan,nan
Geometry-467-.log,467,1.2924425486,3.2597,380.4031045801761,4,11.7471,-2.9758,nan,nan
Geometry-468-.log,468,1.2072771301,3.2064,386.72654690618765,1,7.3072,-2.3515,nan,nan
Geometry-469-.log,469,1.6626584547,3.2935,376.4991650220131,1,7.3072,-3.5874,nan,nan
Geometry-470-.log,470,1.4406011703,3.0875,401.6194331983806,2,8.6795,4.0275,nan,nan
Geometry-471-.log,471,1.6426199288,3.0926,400.95712345599173,3,9.7237,6.9396,nan,nan
Geometry-472-.log,472,1.060534013,3.007,412.3711340206185,2,8.6795,-8.4978,nan,nan
Geometry-473-.log,473,0.7416214044,3.3759,367.30945821854914,3,9.7237,-3.0357,nan,nan
Geometry-474-.log,474,1.0832475779,3.0393,407.9886816043168,3,9.7237,-4.0438,nan,nan
Geometry-475-.log,475,0.9969412563,3.2173,385.4163428962174,2,8.6795,-2.6318,nan,nan
Geometry-476-.log,476,1.4176310749,3.0798,402.62354698357035,1,7.3072,5.6887,nan,nan
Geometry-477-.log,477,1.5883954978,3.0166,411.05880792945703,2,8.6795,-3.4377,nan,nan
Geometry-478-.log,478,0.7886687983,3.0508,406.45076701193125,3,9.7237,-3.6473,nan,nan
Geometry-479-.log,479,0.9932810969,3.3035,375.3594672317239,4,11.7471,2.8395,nan,nan
Geometry-480-.log,480,1.3104821719,3.0934,400.8534298829767,1,7.3072,4.0711,nan,nan
Geometry-481-.log,481,1.8153664095,2.9618,418.664325747856,6,18.2348,5.6178,nan,nan
Geometry-482-.log,482,0.8247443272,3.136,395.4081632653061,1,7.3072,3.9353,nan,nan
Geometry-483-.log,483,1.5362766496,3.1925,388.41033672670324,7,28.1481,2.269,nan,nan
Geometry-484-.log,484,1.4939048923,2.7032,458.7155963302753,2,8.6795,6.8561,nan,nan
Geometry-485-.log,485,0.9596474788,3.261,380.2514566084023,5,17.7354,3.5829,nan,nan
Geometry-486-.log,486,1.5357904252,3.028,409.5112285336856,1,7.3072,-3.2014,nan,nan
Geometry-487-.log,487,1.2121422604,3.1706,391.0931684854602,1,7.3072,6.0403,nan,nan
Geometry-488-.log,488,1.4893024451,3.1267,396.584258163559,2,8.6795,-5.3231,nan,nan
Geometry-489-.log,489,1.4222275578,3.112,398.4575835475578,2,8.6795,-5.0645,nan,nan
Geometry-490-.log,490,1.5192152592,2.7892,444.5719202638749,1,7.3072,-6.4603,nan,nan
Geometry-491-.log,491,0.6456489395,3.2308,383.80586851553795,1,7.3072,7.1618,nan,nan
Geometry-492-.log,492,1.3059620309,3.1204,397.3849506473529,2,8.6795,6.6762,nan,nan
Geometry-493-.log,493,1.5290307318,3.0198,410.6232200808,2,8.6795,4.7859,nan,nan
Geometry-494-.log,494,1.0722690659,3.223,384.734719205709,1,7.3072,5.4336,nan,nan
Geometry-495-.log,495,1.2159617623,3.1231,397.0414011719125,1,7.3072,-4.6686,nan,nan
Geometry-496-.log,496,1.3215719113,2.9431,421.3244538072101,4,11.7471,5.4279,nan,nan
Geometry-497-.log,497,0.9731100856,3.2214,384.9258086546222,1,7.3072,-5.1166,nan,nan
